TACC: Starting up job 1976186
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1976186.wpt9l1aA 
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
Test Parameters
---------------
Operations per measurement :       50
Process pair allocation    :    block


Rank id    0 (c414-304.stampede.tacc.utexas.edu) communicated with rank id   32 (c430-801.stampede.tacc.utexas.edu)
Rank id    1 (c414-304.stampede.tacc.utexas.edu) communicated with rank id   33 (c430-801.stampede.tacc.utexas.edu)
Rank id    2 (c414-304.stampede.tacc.utexas.edu) communicated with rank id   34 (c430-801.stampede.tacc.utexas.edu)
Rank id    3 (c414-304.stampede.tacc.utexas.edu) communicated with rank id   35 (c430-801.stampede.tacc.utexas.edu)
Rank id    4 (c416-304.stampede.tacc.utexas.edu) communicated with rank id   36 (c436-101.stampede.tacc.utexas.edu)
Rank id    5 (c416-304.stampede.tacc.utexas.edu) communicated with rank id   37 (c436-101.stampede.tacc.utexas.edu)
Rank id    6 (c416-304.stampede.tacc.utexas.edu) communicated with rank id   38 (c436-101.stampede.tacc.utexas.edu)
Rank id    7 (c416-304.stampede.tacc.utexas.edu) communicated with rank id   39 (c436-101.stampede.tacc.utexas.edu)
Rank id    8 (c426-304.stampede.tacc.utexas.edu) communicated with rank id   40 (c436-103.stampede.tacc.utexas.edu)
Rank id    9 (c426-304.stampede.tacc.utexas.edu) communicated with rank id   41 (c436-103.stampede.tacc.utexas.edu)
Rank id   10 (c426-304.stampede.tacc.utexas.edu) communicated with rank id   42 (c436-103.stampede.tacc.utexas.edu)
Rank id   11 (c426-304.stampede.tacc.utexas.edu) communicated with rank id   43 (c436-103.stampede.tacc.utexas.edu)
Rank id   12 (c430-102.stampede.tacc.utexas.edu) communicated with rank id   44 (c486-803.stampede.tacc.utexas.edu)
Rank id   13 (c430-102.stampede.tacc.utexas.edu) communicated with rank id   45 (c486-803.stampede.tacc.utexas.edu)
Rank id   14 (c430-102.stampede.tacc.utexas.edu) communicated with rank id   46 (c486-803.stampede.tacc.utexas.edu)
Rank id   15 (c430-102.stampede.tacc.utexas.edu) communicated with rank id   47 (c486-803.stampede.tacc.utexas.edu)
Rank id   16 (c430-104.stampede.tacc.utexas.edu) communicated with rank id   48 (c486-804.stampede.tacc.utexas.edu)
Rank id   17 (c430-104.stampede.tacc.utexas.edu) communicated with rank id   49 (c486-804.stampede.tacc.utexas.edu)
Rank id   18 (c430-104.stampede.tacc.utexas.edu) communicated with rank id   50 (c486-804.stampede.tacc.utexas.edu)
Rank id   19 (c430-104.stampede.tacc.utexas.edu) communicated with rank id   51 (c486-804.stampede.tacc.utexas.edu)
Rank id   20 (c430-504.stampede.tacc.utexas.edu) communicated with rank id   52 (c488-703.stampede.tacc.utexas.edu)
Rank id   21 (c430-504.stampede.tacc.utexas.edu) communicated with rank id   53 (c488-703.stampede.tacc.utexas.edu)
Rank id   22 (c430-504.stampede.tacc.utexas.edu) communicated with rank id   54 (c488-703.stampede.tacc.utexas.edu)
Rank id   23 (c430-504.stampede.tacc.utexas.edu) communicated with rank id   55 (c488-703.stampede.tacc.utexas.edu)
Rank id   24 (c430-602.stampede.tacc.utexas.edu) communicated with rank id   56 (c488-704.stampede.tacc.utexas.edu)
Rank id   25 (c430-602.stampede.tacc.utexas.edu) communicated with rank id   57 (c488-704.stampede.tacc.utexas.edu)
Rank id   26 (c430-602.stampede.tacc.utexas.edu) communicated with rank id   58 (c488-704.stampede.tacc.utexas.edu)
Rank id   27 (c430-602.stampede.tacc.utexas.edu) communicated with rank id   59 (c488-704.stampede.tacc.utexas.edu)
Rank id   28 (c430-701.stampede.tacc.utexas.edu) communicated with rank id   60 (c488-801.stampede.tacc.utexas.edu)
Rank id   29 (c430-701.stampede.tacc.utexas.edu) communicated with rank id   61 (c488-801.stampede.tacc.utexas.edu)
Rank id   30 (c430-701.stampede.tacc.utexas.edu) communicated with rank id   62 (c488-801.stampede.tacc.utexas.edu)
Rank id   31 (c430-701.stampede.tacc.utexas.edu) communicated with rank id   63 (c488-801.stampede.tacc.utexas.edu)
Rank id   32 (c430-801.stampede.tacc.utexas.edu) communicated with rank id    0 (c414-304.stampede.tacc.utexas.edu)
Rank id   33 (c430-801.stampede.tacc.utexas.edu) communicated with rank id    1 (c414-304.stampede.tacc.utexas.edu)
Rank id   34 (c430-801.stampede.tacc.utexas.edu) communicated with rank id    2 (c414-304.stampede.tacc.utexas.edu)
Rank id   35 (c430-801.stampede.tacc.utexas.edu) communicated with rank id    3 (c414-304.stampede.tacc.utexas.edu)
Rank id   36 (c436-101.stampede.tacc.utexas.edu) communicated with rank id    4 (c416-304.stampede.tacc.utexas.edu)
Rank id   37 (c436-101.stampede.tacc.utexas.edu) communicated with rank id    5 (c416-304.stampede.tacc.utexas.edu)
Rank id   38 (c436-101.stampede.tacc.utexas.edu) communicated with rank id    6 (c416-304.stampede.tacc.utexas.edu)
Rank id   39 (c436-101.stampede.tacc.utexas.edu) communicated with rank id    7 (c416-304.stampede.tacc.utexas.edu)
Rank id   40 (c436-103.stampede.tacc.utexas.edu) communicated with rank id    8 (c426-304.stampede.tacc.utexas.edu)
Rank id   41 (c436-103.stampede.tacc.utexas.edu) communicated with rank id    9 (c426-304.stampede.tacc.utexas.edu)
Rank id   42 (c436-103.stampede.tacc.utexas.edu) communicated with rank id   10 (c426-304.stampede.tacc.utexas.edu)
Rank id   43 (c436-103.stampede.tacc.utexas.edu) communicated with rank id   11 (c426-304.stampede.tacc.utexas.edu)
Rank id   44 (c486-803.stampede.tacc.utexas.edu) communicated with rank id   12 (c430-102.stampede.tacc.utexas.edu)
Rank id   45 (c486-803.stampede.tacc.utexas.edu) communicated with rank id   13 (c430-102.stampede.tacc.utexas.edu)
Rank id   46 (c486-803.stampede.tacc.utexas.edu) communicated with rank id   14 (c430-102.stampede.tacc.utexas.edu)
Rank id   47 (c486-803.stampede.tacc.utexas.edu) communicated with rank id   15 (c430-102.stampede.tacc.utexas.edu)
Rank id   48 (c486-804.stampede.tacc.utexas.edu) communicated with rank id   16 (c430-104.stampede.tacc.utexas.edu)
Rank id   49 (c486-804.stampede.tacc.utexas.edu) communicated with rank id   17 (c430-104.stampede.tacc.utexas.edu)
Rank id   50 (c486-804.stampede.tacc.utexas.edu) communicated with rank id   18 (c430-104.stampede.tacc.utexas.edu)
Rank id   51 (c486-804.stampede.tacc.utexas.edu) communicated with rank id   19 (c430-104.stampede.tacc.utexas.edu)
Rank id   52 (c488-703.stampede.tacc.utexas.edu) communicated with rank id   20 (c430-504.stampede.tacc.utexas.edu)
Rank id   53 (c488-703.stampede.tacc.utexas.edu) communicated with rank id   21 (c430-504.stampede.tacc.utexas.edu)
Rank id   54 (c488-703.stampede.tacc.utexas.edu) communicated with rank id   22 (c430-504.stampede.tacc.utexas.edu)
Rank id   55 (c488-703.stampede.tacc.utexas.edu) communicated with rank id   23 (c430-504.stampede.tacc.utexas.edu)
Rank id   56 (c488-704.stampede.tacc.utexas.edu) communicated with rank id   24 (c430-602.stampede.tacc.utexas.edu)
Rank id   57 (c488-704.stampede.tacc.utexas.edu) communicated with rank id   25 (c430-602.stampede.tacc.utexas.edu)
Rank id   58 (c488-704.stampede.tacc.utexas.edu) communicated with rank id   26 (c430-602.stampede.tacc.utexas.edu)
Rank id   59 (c488-704.stampede.tacc.utexas.edu) communicated with rank id   27 (c430-602.stampede.tacc.utexas.edu)
Rank id   60 (c488-801.stampede.tacc.utexas.edu) communicated with rank id   28 (c430-701.stampede.tacc.utexas.edu)
