TACC: Starting up job 1779644
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1779644.lMFvU0Dt 


Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
Rank id   22 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  182 (c461-802.stampede.tacc.utexas.edu)
Rank id   23 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  183 (c461-802.stampede.tacc.utexas.edu)
Rank id   24 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  184 (c461-802.stampede.tacc.utexas.edu)
Rank id   25 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  185 (c461-802.stampede.tacc.utexas.edu)
Rank id   26 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  186 (c461-802.stampede.tacc.utexas.edu)
Rank id   27 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  187 (c461-802.stampede.tacc.utexas.edu)
Rank id   28 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  188 (c461-802.stampede.tacc.utexas.edu)
Rank id   29 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  189 (c461-802.stampede.tacc.utexas.edu)
Rank id   30 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  190 (c461-802.stampede.tacc.utexas.edu)
Rank id   31 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  191 (c461-802.stampede.tacc.utexas.edu)
Rank id   32 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  192 (c461-802.stampede.tacc.utexas.edu)
Rank id   33 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  193 (c461-802.stampede.tacc.utexas.edu)
Rank id   34 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  194 (c461-802.stampede.tacc.utexas.edu)
Rank id   35 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  195 (c461-802.stampede.tacc.utexas.edu)
Rank id   36 (c449-804-mic0.stampede.tacc.utexas.edu) communicated with rank id  196 (c461-802-mic0.stampede.tacc.utexas.edu)
Rank id   37 (c449-804-mic0.stampede.tacc.utexas.edu) communicated with rank id  197 (c461-802-mic0.stampede.tacc.utexas.edu)
Rank id   38 (c449-804-mic0.stampede.tacc.utexas.edu) communicated with rank id  198 (c461-802-mic0.stampede.tacc.utexas.edu)
Rank id   39 (c449-804-mic0.stampede.tacc.utexas.edu) communicated with rank id  199 (c461-802-mic0.stampede.tacc.utexas.edu)
Rank id   40 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  200 (c461-803.stampede.tacc.utexas.edu)
Rank id   41 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  201 (c461-803.stampede.tacc.utexas.edu)
Rank id   42 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  202 (c461-803.stampede.tacc.utexas.edu)
Rank id   43 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  203 (c461-803.stampede.tacc.utexas.edu)
Rank id   44 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  204 (c461-803.stampede.tacc.utexas.edu)
Rank id   45 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  205 (c461-803.stampede.tacc.utexas.edu)
Rank id   46 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  206 (c461-803.stampede.tacc.utexas.edu)
Rank id   47 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  207 (c461-803.stampede.tacc.utexas.edu)
Rank id   48 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  208 (c461-803.stampede.tacc.utexas.edu)
Rank id   49 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  209 (c461-803.stampede.tacc.utexas.edu)
Rank id   50 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  210 (c461-803.stampede.tacc.utexas.edu)
Rank id   51 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  211 (c461-803.stampede.tacc.utexas.edu)
Rank id   52 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  212 (c461-803.stampede.tacc.utexas.edu)
Rank id   53 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  213 (c461-803.stampede.tacc.utexas.edu)
Rank id   54 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  214 (c461-803.stampede.tacc.utexas.edu)
Rank id   55 (c449-901.stampede.tacc.utexas.edu) communicated with rank id  215 (c461-803.stampede.tacc.utexas.edu)
Rank id   56 (c449-901-mic0.stampede.tacc.utexas.edu) communicated with rank id  216 (c461-803-mic0.stampede.tacc.utexas.edu)
Rank id   57 (c449-901-mic0.stampede.tacc.utexas.edu) communicated with rank id  217 (c461-803-mic0.stampede.tacc.utexas.edu)
Rank id   58 (c449-901-mic0.stampede.tacc.utexas.edu) communicated with rank id  218 (c461-803-mic0.stampede.tacc.utexas.edu)
Rank id   59 (c449-901-mic0.stampede.tacc.utexas.edu) communicated with rank id  219 (c461-803-mic0.stampede.tacc.utexas.edu)
Rank id   60 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  220 (c461-804.stampede.tacc.utexas.edu)
Rank id   61 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  221 (c461-804.stampede.tacc.utexas.edu)
Rank id   62 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  222 (c461-804.stampede.tacc.utexas.edu)
Rank id   63 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  223 (c461-804.stampede.tacc.utexas.edu)
Rank id   64 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  224 (c461-804.stampede.tacc.utexas.edu)
Rank id   65 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  225 (c461-804.stampede.tacc.utexas.edu)
Rank id   66 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  226 (c461-804.stampede.tacc.utexas.edu)
Rank id   67 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  227 (c461-804.stampede.tacc.utexas.edu)
Rank id   68 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  228 (c461-804.stampede.tacc.utexas.edu)
Rank id   69 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  229 (c461-804.stampede.tacc.utexas.edu)
Rank id   70 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  230 (c461-804.stampede.tacc.utexas.edu)
Rank id   71 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  231 (c461-804.stampede.tacc.utexas.edu)
Rank id   72 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  232 (c461-804.stampede.tacc.utexas.edu)
Rank id   73 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  233 (c461-804.stampede.tacc.utexas.edu)
Rank id   74 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  234 (c461-804.stampede.tacc.utexas.edu)
Rank id   75 (c449-902.stampede.tacc.utexas.edu) communicated with rank id  235 (c461-804.stampede.tacc.utexas.edu)
Rank id   76 (c449-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  236 (c461-804-mic0.stampede.tacc.utexas.edu)
Rank id   77 (c449-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  237 (c461-804-mic0.stampede.tacc.utexas.edu)
Rank id   78 (c449-902-mic0.stampede.tacc.utexas.edu) communicated with rank id  238 (c461-804-mic0.stampede.tacc.utexas.edu)
